#old_id	new_id
evm.model.jcf7180007902843.2	CcGene_00380
evm.model.jcf7180007902843.3	CcGene_00381
evm.model.jcf7180007902843.4	CcGene_00382
evm.model.jcf7180007902844.1	CcGene_00383
evm.model.jcf7180007902844.2	CcGene_00384
evm.model.jcf7180007902845.1	CcGene_00385
evm.model.jcf7180007902847.1	CcGene_00386
evm.model.jcf7180007902847.2	CcGene_00387
evm.model.jcf7180007902848.1	CcGene_00388
evm.model.jcf7180007902848.2	CcGene_00389
evm.model.jcf7180007902850.1	CcGene_00390
evm.model.jcf7180007902850.2	CcGene_00391
evm.model.jcf7180007902850.3	CcGene_00392
evm.model.jcf7180007902850.4	CcGene_00393
evm.model.jcf7180007902850.5	CcGene_00394
evm.model.jcf7180007902850.6	CcGene_00395
evm.model.jcf7180007902850.7	CcGene_00396
evm.model.jcf7180007902852.1	CcGene_00397
evm.model.jcf7180007902852.2	CcGene_00398
evm.model.jcf7180007902852.3	CcGene_00399
evm.model.jcf7180007902852.4	CcGene_00400
evm.model.jcf7180007902853.1	CcGene_00401
evm.model.jcf7180007902872.1	CcGene_00402
evm.model.jcf7180007902882.1	CcGene_00403
evm.model.jcf7180007902890.1	CcGene_00404
evm.model.jcf7180007902893.1	CcGene_00405
evm.model.jcf7180007902893.10	CcGene_00406
evm.model.jcf7180007902893.11	CcGene_00407
evm.model.jcf7180007902893.12	CcGene_00408
evm.model.jcf7180007902893.13	CcGene_00409
evm.model.jcf7180007902893.2	CcGene_00410
evm.model.jcf7180007902893.3	CcGene_00411
evm.model.jcf7180007902893.4	CcGene_00412
evm.model.jcf7180007902893.5	CcGene_00413
evm.model.jcf7180007902893.6	CcGene_00414
evm.model.jcf7180007902893.7	CcGene_00415
evm.model.jcf7180007902893.8	CcGene_00416
evm.model.jcf7180007902893.9	CcGene_00417
evm.model.jcf7180007902921.1	CcGene_00418
evm.model.jcf7180007902921.2	CcGene_00419
evm.model.jcf7180007902922.1	CcGene_00420
evm.model.jcf7180007902922.2	CcGene_00421
evm.model.jcf7180007902922.3	CcGene_00422
evm.model.jcf7180007902922.4	CcGene_00423
evm.model.jcf7180007902923.1	CcGene_00424
evm.model.jcf7180007902924.1	CcGene_00425
evm.model.jcf7180007902925.1	CcGene_00426
evm.model.jcf7180007902925.2	CcGene_00427
evm.model.jcf7180007902929.1	CcGene_00428
evm.model.jcf7180007902930.1	CcGene_00429
evm.model.jcf7180007902931.1	CcGene_00430
evm.model.jcf7180007902933.1	CcGene_00431
evm.model.jcf7180007902934.1	CcGene_00432
evm.model.jcf7180007902936.1	CcGene_00433
evm.model.jcf7180007902936.2	CcGene_00434
evm.model.jcf7180007902936.3	CcGene_00435
evm.model.jcf7180007902937.1	CcGene_00436
evm.model.jcf7180007902940.1	CcGene_00437
evm.model.jcf7180007902940.2	CcGene_00438
evm.model.jcf7180007902942.1	CcGene_00439
evm.model.jcf7180007902944.1	CcGene_00440
evm.model.jcf7180007902967.1	CcGene_00441
evm.model.jcf7180007902977.1	CcGene_00442
evm.model.jcf7180007903008.1	CcGene_00443
evm.model.jcf7180007903008.2	CcGene_00444
evm.model.jcf7180007903008.3	CcGene_00445
evm.model.jcf7180007903008.4	CcGene_00446
evm.model.jcf7180007903009.1	CcGene_00447
evm.model.jcf7180007903009.2	CcGene_00448
evm.model.jcf7180007903011.1	CcGene_00449
evm.model.jcf7180007903011.2	CcGene_00450
evm.model.jcf7180007903013.1	CcGene_00451
evm.model.jcf7180007903014.1	CcGene_00452
evm.model.jcf7180007903014.2	CcGene_00453
evm.model.jcf7180007903019.1	CcGene_00454
evm.model.jcf7180007903019.2	CcGene_00455
evm.model.jcf7180007903021.1	CcGene_00456
evm.model.jcf7180007903022.1	CcGene_00457
evm.model.jcf7180007903025.1	CcGene_00458
evm.model.jcf7180007903029.1	CcGene_00459
evm.model.jcf7180007903031.1	CcGene_00460
evm.model.jcf7180007903031.2	CcGene_00461
evm.model.jcf7180007903031.3	CcGene_00462
evm.model.jcf7180007903031.4	CcGene_00463
evm.model.jcf7180007903032.1	CcGene_00464
evm.model.jcf7180007903033.1	CcGene_00465
evm.model.jcf7180007903034.1	CcGene_00466
evm.model.jcf7180007903036.1	CcGene_00467
evm.model.jcf7180007903037.1	CcGene_00468
evm.model.jcf7180007903041.1	CcGene_00469
evm.model.jcf7180007903042.1	CcGene_00470
evm.model.jcf7180007903042.2	CcGene_00471
evm.model.jcf7180007903044.1	CcGene_00472
evm.model.jcf7180007903048.1	CcGene_00473
evm.model.jcf7180007903060.1	CcGene_00474
evm.model.jcf7180007903060.2	CcGene_00475
evm.model.jcf7180007903062.1	CcGene_00476
evm.model.jcf7180007903062.2	CcGene_00477
evm.model.jcf7180007903067.1	CcGene_00478
evm.model.jcf7180007903070.1	CcGene_00479
evm.model.jcf7180007903072.1	CcGene_00480
evm.model.jcf7180007903101.1	CcGene_00481
evm.model.jcf7180007903126.1	CcGene_00482
evm.model.jcf7180007903126.2	CcGene_00483
evm.model.jcf7180007903126.3	CcGene_00484
evm.model.jcf7180007903126.4	CcGene_00485
evm.model.jcf7180007903127.1	CcGene_00486
evm.model.jcf7180007903127.2	CcGene_00487
evm.model.jcf7180007903127.3	CcGene_00488
evm.model.jcf7180007903128.1	CcGene_00489
evm.model.jcf7180007903129.1	CcGene_00490
evm.model.jcf7180007903130.1	CcGene_00491
evm.model.jcf7180007903130.2	CcGene_00492
evm.model.jcf7180007903132.1	CcGene_00493
evm.model.jcf7180007903132.2	CcGene_00494
evm.model.jcf7180007903132.3	CcGene_00495
evm.model.jcf7180007903132.4	CcGene_00496
evm.model.jcf7180007903132.5	CcGene_00497
evm.model.jcf7180007903134.1	CcGene_00498
evm.model.jcf7180007903134.2	CcGene_00499
evm.model.jcf7180007903134.3	CcGene_00500
evm.model.jcf7180007903134.4	CcGene_00501
evm.model.jcf7180007903134.5	CcGene_00502
evm.model.jcf7180007903134.6	CcGene_00503
evm.model.jcf7180007903134.7	CcGene_00504
evm.model.jcf7180007903134.8	CcGene_00505
evm.model.jcf7180007903136.1	CcGene_00506
evm.model.jcf7180007903136.2	CcGene_00507
evm.model.jcf7180007903138.1	CcGene_00508
evm.model.jcf7180007903139.1	CcGene_00509
evm.model.jcf7180007903141.1	CcGene_00510
evm.model.jcf7180007903142.1	CcGene_00511
evm.model.jcf7180007903144.1	CcGene_00512
evm.model.jcf7180007903144.2	CcGene_00513
evm.model.jcf7180007903144.3	CcGene_00514
evm.model.jcf7180007903146.1	CcGene_00515
evm.model.jcf7180007903153.1	CcGene_00516
evm.model.jcf7180007903153.2	CcGene_00517
evm.model.jcf7180007903157.1	CcGene_00518
evm.model.jcf7180007903157.2	CcGene_00519
evm.model.jcf7180007903201.1	CcGene_00520
evm.model.jcf7180007903212.1	CcGene_00521
evm.model.jcf7180007903216.1	CcGene_00522
evm.model.jcf7180007903216.2	CcGene_00523
evm.model.jcf7180007903217.1	CcGene_00524
evm.model.jcf7180007903217.2	CcGene_00525
evm.model.jcf7180007903218.1	CcGene_00526
evm.model.jcf7180007903218.2	CcGene_00527
evm.model.jcf7180007903219.1	CcGene_00528
evm.model.jcf7180007903219.2	CcGene_00529
evm.model.jcf7180007903219.3	CcGene_00530
evm.model.jcf7180007903220.1	CcGene_00531
evm.model.jcf7180007903220.2	CcGene_00532
evm.model.jcf7180007903220.3	CcGene_00533
evm.model.jcf7180007903221.1	CcGene_00534
evm.model.jcf7180007903221.2	CcGene_00535
evm.model.jcf7180007903222.1	CcGene_00536
evm.model.jcf7180007903222.2	CcGene_00537
evm.model.jcf7180007903222.3	CcGene_00538
evm.model.jcf7180007903222.4	CcGene_00539
evm.model.jcf7180007903223.1	CcGene_00540
evm.model.jcf7180007903223.2	CcGene_00541
evm.model.jcf7180007903223.3	CcGene_00542
evm.model.jcf7180007903229.1	CcGene_00543
evm.model.jcf7180007903229.2	CcGene_00544
evm.model.jcf7180007903233.1	CcGene_00545
evm.model.jcf7180007903234.1	CcGene_00546
evm.model.jcf7180007903244.1	CcGene_00547
evm.model.jcf7180007903245.1	CcGene_00548
evm.model.jcf7180007903245.2	CcGene_00549
evm.model.jcf7180007903256.1	CcGene_00550
evm.model.jcf7180007903258.1	CcGene_00551
evm.model.jcf7180007903263.1	CcGene_00552
evm.model.jcf7180007903297.1	CcGene_00553
evm.model.jcf7180007903297.2	CcGene_00554
evm.model.jcf7180007903303.1	CcGene_00555
evm.model.jcf7180007903314.1	CcGene_00556
evm.model.jcf7180007903323.1	CcGene_00557
evm.model.jcf7180007903323.2	CcGene_00558
evm.model.jcf7180007903335.1	CcGene_00559
evm.model.jcf7180007903344.1	CcGene_00560
evm.model.jcf7180007903344.2	CcGene_00561
evm.model.jcf7180007903344.3	CcGene_00562
evm.model.jcf7180007903345.1	CcGene_00563
evm.model.jcf7180007903345.2	CcGene_00564
evm.model.jcf7180007903346.1	CcGene_00565
evm.model.jcf7180007903346.2	CcGene_00566
evm.model.jcf7180007903346.3	CcGene_00567
evm.model.jcf7180007903347.1	CcGene_00568
evm.model.jcf7180007903347.2	CcGene_00569
evm.model.jcf7180007903347.3	CcGene_00570
evm.model.jcf7180007903347.4	CcGene_00571
evm.model.jcf7180007903348.1	CcGene_00572
evm.model.jcf7180007903348.2	CcGene_00573
evm.model.jcf7180007903348.3	CcGene_00574
evm.model.jcf7180007903348.4	CcGene_00575
evm.model.jcf7180007903349.1	CcGene_00576
evm.model.jcf7180007903349.2	CcGene_00577
evm.model.jcf7180007903350.1	CcGene_00578
evm.model.jcf7180007903351.1	CcGene_00579
evm.model.jcf7180007903352.1	CcGene_00580
evm.model.jcf7180007903352.2	CcGene_00581
